shortname;fullname;category;nome_backup;nome_categoria;imagem_escolhida
EEEFMPOLIVALENTEDELINHARESI_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32022212_1922_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_8aETAPA_PIPAT;INEP32022212 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMSAOJOAODOSOBRADO_3ªN01-EM-NAR_PROINPAC_INEP32015550_2612_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_3aN_PROINPAC;INEP32015550 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMVILANOVADECOLARES_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32134010_2650_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EM_2024_1_1aETAPA_PIPAT;INEP32134010 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMGERMANOANDRELUBE_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32037171_1132_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32037171 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEMMARIADALVAGAMABERNABE_1ªN02-EM_EO_INEP32079435_1479_2024;ESTUDO ORIENTADO;6622;EM_2024_1aN_EO;INEP32079435 / ENSINO MÉDIO / 2024;EM_EO
EEEMMARIADALVAGAMABERNABE_1ªN02-EM_PROINPAC_INEP32079435_1479_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_1aN_PROINPAC;INEP32079435 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMMARIADALVAGAMABERNABE_1ªN02-EM_PV_INEP32079435_1479_2024;PROJETO DE VIDA;6622;EM_2024_1aN_PV;INEP32079435 / ENSINO MÉDIO / 2024;EM_PV
EEEFMPRESIDENTELUEBKE_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32058918_4615_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EP_2024_1_2aETAPA_PIPAT;INEP32058918 / EJA - PROFISSIONALIZANTE EM / 2024/1;EJA_EP_PIPAT
EEEFMFREDERICOPRETTI_1ªN01-EM_EO_INEP32033478_3488_2024;ESTUDO ORIENTADO;6622;EM_2024_1aN_EO;INEP32033478 / ENSINO MÉDIO / 2024;EM_EO
EEEFMFREDERICOPRETTI_1ªN01-EM_PROINPAC_INEP32033478_3488_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_1aN_PROINPAC;INEP32033478 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMFREDERICOPRETTI_1ªN01-EM_PV_INEP32033478_3488_2024;PROJETO DE VIDA;6622;EM_2024_1aN_PV;INEP32033478 / ENSINO MÉDIO / 2024;EM_PV
EEEFMJACARAIPE_3ªN01-EM-ESP_PROINPAC_INEP32037180_4948_2024;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;6622;EM_2024_3aN_PROINPAC;INEP32037180 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMVILANOVADECOLARES_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32134010_6423_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_5aETAPA_PIPAT;INEP32134010 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
EEEFMVILANOVADECOLARES_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32134010_1422_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32134010 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
